8/16/20-8/22/20,0,15,<5,35,0,9,48,21,9,13,<5,<5,<5,<5,<5,22,9,0,7,9,0,<5,22,20,<5,55,<5,217,0,<5,9,7,7,<5,36,<5,<5,<5,16,11,625
8/23/20-8/29/20,<5,7,<5,22,<5,9,41,11,8,5,0,<5,<5,<5,0,14,8,0,<5,6,0,5,7,16,<5,38,5,190,<5,<5,8,<5,5,<5,15,<5,6,<5,18,23,488
8/30/20-9/5/20,<5,<5,<5,<5,0,<5,39,15,<5,10,0,<5,<5,0,<5,15,6,0,<5,<5,0,6,6,29,<5,36,<5,178,0,<5,6,0,6,<5,27,0,<5,<5,12,19,452
9/6/20-9/12/20,5,10,7,17,<5,<5,31,30,<5,16,0,<5,0,0,0,9,<5,0,<5,5,0,13,6,11,<5,55,<5,144,0,<5,6,<5,<5,0,22,<5,11,6,16,9,456
9/13/20-9/19/20,5,8,10,21,<5,21,38,15,<5,9,<5,0,0,<5,<5,21,<5,0,0,33,0,9,5,21,6,40,<5,276,<5,<5,11,9,5,<5,32,<5,10,9,15,12,661
9/20/20-9/26/20,<5,<5,7,34,<5,6,40,14,<5,8,<5,0,<5,<5,<5,27,14,0,<5,31,0,<5,5,20,9,77,0,246,<5,<5,11,<5,<5,7,23,<5,9,9,11,12,654
9/27/20-10/3/20,<5,9,5,31,<5,14,63,22,11,32,<5,<5,<5,<5,<5,27,16,<5,<5,42,0,<5,15,35,6,114,5,284,<5,<5,14,18,<5,0,39,<5,13,14,27,<5,893
10/4/20-10/10/20,7,12,8,46,<5,20,97,31,8,33,5,7,<5,<5,6,22,21,<5,<5,96,0,8,27,45,9,122,5,286,<5,<5,14,51,17,6,64,5,25,22,38,15,"1,191"
10/11/20-10/17/20,6,24,18,73,<5,31,134,43,12,48,<5,<5,<5,0,<5,48,22,<5,<5,38,<5,13,17,59,19,165,12,370,<5,<5,27,34,15,5,55,12,26,14,49,28,"1,444"
10/18/20-10/24/20,21,23,19,95,7,53,225,53,37,74,<5,<5,19,<5,0,81,41,<5,10,39,0,20,29,86,22,257,10,649,9,13,39,24,15,12,123,17,53,11,64,82,"2,344"
10/25/20-10/31/20,31,39,28,161,5,49,265,83,32,96,<5,13,19,8,6,105,49,5,25,17,<5,21,35,125,13,265,27,644,<5,18,36,20,30,33,191,7,76,19,69,51,"2,723"
11/1/20-11/7/20,26,71,23,144,10,100,375,78,52,134,13,8,22,16,14,153,51,<5,22,30,<5,35,51,117,24,323,17,867,9,26,56,32,25,38,227,8,88,27,111,49,"3,479"
11/8/20-11/14/20,46,97,36,220,13,149,559,130,69,200,15,21,31,18,11,181,104,<5,23,43,<5,38,114,193,24,471,32,"1,257",22,25,118,63,32,39,385,18,169,55,111,87,"5,224"
11/15/20-11/21/20,50,104,57,193,22,204,654,143,79,236,24,18,35,30,10,228,108,<5,25,51,<5,61,118,224,37,503,27,"1,439",12,42,133,53,37,34,481,20,197,60,131,179,"6,063"
11/22/20-11/28/20,47,52,87,172,27,199,512,143,67,184,25,21,29,27,11,189,132,5,24,35,<5,48,110,177,52,444,34,"1,179",14,46,92,30,40,19,433,32,143,54,163,174,"5,274"
11/29/20-12/5/20,85,87,169,212,36,283,748,260,93,352,41,31,53,51,20,369,171,<5,55,55,<5,74,126,287,92,667,38,"1,712",25,77,172,68,68,46,557,32,215,79,269,353,"8,132"
12/6/20-12/12/20,79,85,115,144,35,222,684,281,96,393,37,28,76,42,27,275,149,9,56,73,11,100,127,276,78,618,55,"1,589",14,74,149,61,62,57,495,30,183,100,279,346,"7,610"
12/13/20-12/19/20,45,91,114,112,34,216,478,194,76,262,25,14,44,34,10,193,119,12,69,56,<5,76,81,151,70,414,75,"1,049",9,43,110,41,65,77,362,24,118,117,285,205,"5,574"
12/20/20-12/26/20,88,124,76,102,29,120,377,141,42,248,19,24,39,22,13,138,96,9,61,51,0,65,69,145,44,299,83,793,19,34,83,39,73,63,260,20,109,71,195,272,"4,555"
12/27/20-1/2/21,74,169,120,151,53,163,489,232,89,271,27,27,30,32,34,189,127,20,90,78,<5,144,113,152,76,427,111,"1,015",24,48,142,82,91,116,409,32,163,85,260,456,"6,413"
1/3/21-1/9/21,92,189,101,138,29,206,561,226,118,314,31,42,49,24,33,264,164,19,79,95,<5,144,130,237,73,541,142,"1,354",27,48,135,64,86,116,458,47,165,119,259,418,"7,338"
1/10/21-1/16/21,69,108,85,112,23,165,389,193,95,238,23,33,34,33,16,182,107,19,64,43,6,106,78,162,64,431,109,"1,024",15,51,117,29,78,49,366,37,146,105,291,239,"5,534"
1/17/21-1/23/21,62,104,95,86,20,180,364,146,79,169,28,22,31,38,19,118,101,<5,74,36,<5,95,86,145,75,343,58,778,14,39,121,45,74,31,317,25,135,109,261,185,"4,710"
1/24/21-1/30/21,42,87,86,87,15,112,282,150,65,167,14,10,34,23,8,96,80,5,53,43,0,112,79,93,57,265,32,617,13,26,99,67,46,31,252,23,90,72,179,150,"3,762"
1/31/21-2/6/21,23,74,63,43,18,88,228,95,37,119,13,22,28,19,6,112,66,<5,35,46,0,78,39,101,39,211,27,475,5,24,66,53,46,25,175,8,73,74,114,110,"2,881"
2/7/21-2/13/21,28,37,26,35,13,73,181,100,35,80,11,13,13,22,11,64,40,<5,27,79,0,55,32,90,28,180,20,431,6,20,49,50,30,15,144,8,55,52,90,95,"2,339"
2/14/21-2/20/21,22,23,40,43,14,59,156,62,34,60,5,<5,15,13,<5,70,34,6,11,47,<5,41,38,80,18,153,9,408,10,6,98,61,38,19,115,8,55,45,64,89,2076
2/21/21-2/27/21,27,32,35,40,14,47,156,76,35,78,11,7,<5,14,<5,65,29,0,16,40,0,32,38,107,24,152,25,394,5,10,164,52,16,10,149,9,46,34,60,182,2237
